line,station,hour,day_of_week,is_weekend,is_peak_hour,crowd_level
Western,Andheri,0,Monday,0,0,Low
Western,Andheri,1,Monday,0,0,Low
Western,Andheri,2,Monday,0,0,Low
Western,Andheri,3,Monday,0,0,Low
Western,Andheri,4,Monday,0,0,Low
Western,Andheri,5,Monday,0,0,Low
Western,Andheri,6,Monday,0,0,Low
Western,Andheri,7,Monday,0,0,Low
Western,Andheri,8,Monday,0,1,Extreme
Western,Andheri,9,Monday,0,1,Extreme
Western,Andheri,10,Monday,0,1,Extreme
Western,Andheri,11,Monday,0,0,Medium
Western,Andheri,12,Monday,0,0,Medium
Western,Andheri,13,Monday,0,0,Medium
Western,Andheri,14,Monday,0,0,Medium
Western,Andheri,15,Monday,0,0,Medium
Western,Andheri,16,Monday,0,0,Medium
Western,Andheri,17,Monday,0,0,Medium
Western,Andheri,18,Monday,0,1,Extreme
Western,Andheri,19,Monday,0,1,Extreme
Western,Andheri,20,Monday,0,1,Extreme
Western,Andheri,21,Monday,0,1,Extreme
Western,Andheri,22,Monday,0,0,Low
Western,Andheri,23,Monday,0,0,Low
Western,Andheri,0,Tuesday,0,0,Low
Western,Andheri,1,Tuesday,0,0,Low
Western,Andheri,2,Tuesday,0,0,Low
Western,Andheri,3,Tuesday,0,0,Low
Western,Andheri,4,Tuesday,0,0,Low
Western,Andheri,5,Tuesday,0,0,Low
Western,Andheri,6,Tuesday,0,0,Low
Western,Andheri,7,Tuesday,0,0,Low
Western,Andheri,8,Tuesday,0,1,Extreme
Western,Andheri,9,Tuesday,0,1,Extreme
Western,Andheri,10,Tuesday,0,1,Extreme
Western,Andheri,11,Tuesday,0,0,Medium
Western,Andheri,12,Tuesday,0,0,Medium
Western,Andheri,13,Tuesday,0,0,Medium
Western,Andheri,14,Tuesday,0,0,Medium
Western,Andheri,15,Tuesday,0,0,Medium
Western,Andheri,16,Tuesday,0,0,Medium
Western,Andheri,17,Tuesday,0,0,Medium
Western,Andheri,18,Tuesday,0,1,Extreme
Western,Andheri,19,Tuesday,0,1,Extreme
Western,Andheri,20,Tuesday,0,1,Extreme
Western,Andheri,21,Tuesday,0,1,Extreme
Western,Andheri,22,Tuesday,0,0,Low
Western,Andheri,23,Tuesday,0,0,Low
Western,Andheri,0,Wednesday,0,0,Low
Western,Andheri,1,Wednesday,0,0,Low
Western,Andheri,2,Wednesday,0,0,Low
Western,Andheri,3,Wednesday,0,0,Low
Western,Andheri,4,Wednesday,0,0,Low
Western,Andheri,5,Wednesday,0,0,Low
Western,Andheri,6,Wednesday,0,0,Low
